date,visits
2026-06-15,1
2026-06-16,4
2026-06-17,4
2026-06-18,0
2026-06-19,0
2026-06-20,1
2026-06-21,0
2026-06-22,2
2026-06-23,2
2026-06-24,5
2026-06-25,2
2026-06-26,0
2026-06-27,0
2026-06-28,2
2026-06-29,2
2026-06-30,3
2026-07-01,0
2026-07-02,1
2026-07-03,0
2026-07-04,0
2026-07-05,1
2026-07-06,2
2026-07-07,3
2026-07-08,4
2026-07-09,1
2026-07-10,1
2026-07-11,0
2026-07-12,2
2026-07-13,3
2026-07-14,2
2026-07-15,3
2026-07-16,1
2026-07-17,2
2026-07-18,0
2026-07-19,1
2026-07-20,1
2026-07-21,0
2026-07-22,3
2026-07-23,1
2026-07-24,2
2026-07-25,1
2026-07-26,3
2026-07-27,3
2026-07-28,5
2026-07-29,9
2026-07-30,5
2026-07-31,7
2026-08-01,3
2026-08-02,2
2026-08-03,20
2026-08-04,15
2026-08-05,19
2026-08-06,14
2026-08-07,17
2026-08-08,17
2026-08-09,20
2026-08-10,36
2026-08-11,41
2026-08-12,37
2026-08-13,27
2026-08-14,28
2026-08-15,27
2026-08-16,23
2026-08-17,38
2026-08-18,55
2026-08-19,48
2026-08-20,43
2026-08-21,44
2026-08-22,52
2026-08-23,28
2026-08-24,75
2026-08-25,62
2026-08-26,54
2026-08-27,72
2026-08-28,60
2026-08-29,58
2026-08-30,54
2026-08-31,74
2026-09-01,86
2026-09-02,90
2026-09-03,79
2026-09-04,80
2026-09-05,70
2026-09-06,53
2026-09-07,96
2026-09-08,97
2026-09-09,106
2026-09-10,102
2026-09-11,91
2026-09-12,90
2026-09-13,96
2026-09-14,122
2026-09-15,125
2026-09-16,95
2026-09-17,81
2026-09-18,72
