date,visits
2026-07-17,3
2026-07-18,2
2026-07-19,7
2026-07-20,3
2026-07-21,2
2026-07-22,3
2026-07-23,6
2026-07-24,3
2026-07-25,4
2026-07-26,4
2026-07-27,8
2026-07-28,8
2026-07-29,3
2026-07-30,5
2026-07-31,19
2026-08-01,15
2026-08-02,42
2026-08-03,53
2026-08-04,66
2026-08-05,65
2026-08-06,55
2026-08-07,74
2026-08-08,83
2026-08-09,96
2026-08-10,110
2026-08-11,117
2026-08-12,139
2026-08-13,121
2026-08-14,133
2026-08-15,105
2026-08-16,150
2026-08-17,167
2026-08-18,135
2026-08-19,146
2026-08-20,162
2026-08-21,209
2026-08-22,153
2026-08-23,157
2026-08-24,153
2026-08-25,192
2026-08-26,180
2026-08-27,177
2026-08-28,168
2026-08-29,198
2026-08-30,209
2026-08-31,192
2026-09-01,148
2026-09-02,151
2026-09-03,157
2026-09-04,210
2026-09-05,262
2026-09-06,254
2026-09-07,195
2026-09-08,168
2026-09-09,154
2026-09-10,153
2026-09-11,183
2026-09-12,239
2026-09-13,263
2026-09-14,221
2026-09-15,194
2026-09-16,212
2026-09-17,222
2026-09-18,248
2026-09-19,323
